Cell Type,Number of Samples,R²,Adjusted R²,F-statistic,P-value (F-test),High Influence Points,High Influence Ratio,Mean Cook's Distance,Max Cook's Distance,Status
AS_DC,421,0.03636253419820157,0.022396773824262417,2.6036916877119043,0.01730772722786462,20,0.047505938242280284,0.0029088058347019148,0.17397454829524378,Completed
Atypical_Bm_ITGAX,421,0.014749345427692684,0.000470350433891098,1.0329400237268294,0.40318583781000744,16,0.03800475059382423,0.0022855381569499462,0.09352740104789144,Completed
Bn_IFIT3,421,0.007964834137698551,-0.0064124871066826294,0.5539859618015656,0.7668783146406244,9,0.021377672209026127,0.0015657082423687985,0.25848183234561856,Completed
Bn_TCL1A,421,0.016039770929248465,0.0017794777543099771,1.1247854958155692,0.3468784310803055,19,0.04513064133016627,0.002349702192318914,0.10778084169975477,Completed
Bn_IL6,421,0.018289645935172016,0.004061959644377389,1.2854968517970122,0.2625909394496769,19,0.04513064133016627,0.0022416689466239377,0.14741002093399527,Completed
CD4_CTL_GZMH,421,0.10848642579415702,0.09556593921146361,8.396465961233343,1.3143016836506152e-08,17,0.040380047505938245,0.0028957560401004535,0.22045674888629122,Completed
CD4_Tcm_CXCR5,421,0.03684239825475444,0.02288359243235949,2.6393660549132507,0.01597320273180021,21,0.0498812351543943,0.002501545394712838,0.06246202650458764,Completed
CD4_Tcm_IFI44L,421,0.007437420028760355,-0.006947544898359137,0.51702733141454,0.7954942376397396,13,0.030878859857482184,0.0021329808357043087,0.17713842829132762,Completed
CD4_Tem_CCR5,421,0.019703269644192,0.0054960706535280845,1.3868511067621254,0.21841809034531603,9,0.021377672209026127,0.001909110437463778,0.3243083493857332,Completed
CD4_Tem_CCR7neg,421,0.022210952216166646,0.008040096451183532,1.5673684486332167,0.15514832843937162,20,0.047505938242280284,0.002718731103806803,0.09619207889526366,Completed
CD4_Tfh-like_CXCR5,421,0.008108243194942522,-0.006266999657304817,0.5640421715501654,0.7589722059724155,20,0.047505938242280284,0.0035420192570632895,0.37328844534454975,Completed
CD4_Th1-like_GZMK,421,0.012486103105424307,-0.00182569250174347,0.8724344204001179,0.5150642245783432,20,0.047505938242280284,0.0025896713009370565,0.11738495527121323,Completed
CD4_Th17-like_RORC,421,0.01721243267710626,0.0029691345999628416,1.2084583629354457,0.30075056862608773,21,0.0498812351543943,0.002693721254231941,0.10847893174235367,Completed
CD4_Th22-like_CCR10,421,0.03224759216977535,0.01822219495484445,2.299228440777855,0.033980143089254414,19,0.04513064133016627,0.0023148419078647953,0.06526504001509748,Completed
CD4_Th_CCR4,421,0.10811266849981005,0.09518676514473479,8.364031938809198,1.4240044059143536e-08,28,0.0665083135391924,0.0029548298768326954,0.22765472689722346,Completed
CD4_Th_CR1,421,0.0675781202643454,0.054064759688466246,5.0008374959645785,5.8078980179075636e-05,21,0.0498812351543943,0.002877166724595081,0.19214746426611967,Completed
CD4_Th_LMNA,421,0.049129066383329256,0.03534832821497169,3.5650533217542906,0.0018681371894769456,22,0.052256532066508314,0.002429090156221283,0.07457265258358195,Completed
CD4_Th_TNFRSF11A,421,0.015988741553143004,0.001727708822029106,1.1211489276130544,0.34899522136537486,26,0.06175771971496437,0.0033415550589199136,0.1541980452537414,Completed
CD4_Tn_CCR7,421,0.05354076410191011,0.03982396358164786,3.9032982963352687,0.0008339218573502952,20,0.047505938242280284,0.0023128431305640173,0.043433974139537375,Completed
CD4_Tn_CXCR5,421,0.23131163789463005,0.22017122684962465,20.7632947258562,2.6900592709049276e-21,26,0.06175771971496437,0.003714213463424771,0.3049619330723555,Completed
CD4_Tn_LIMS1,421,0.03470809564745636,0.020718357903216522,2.480968284180117,0.022768325373521536,19,0.04513064133016627,0.002664762392588238,0.09425296042375703,Completed
CD4_Tn_SOX4,421,0.27553607570604155,0.26503659854236095,26.24283775378518,1.7864241983844652e-26,20,0.047505938242280284,0.002576723954579553,0.1414702284025403,Completed
CD4_Tr1_IL10,421,0.0028316589603344378,-0.011620056127197076,0.19593930154197162,0.9778788598598066,19,0.04513064133016627,0.0021859804735689732,0.11396337206151898,Completed
CD4_Treg_FCRL3,421,0.030212888378340796,0.016158002702664542,2.149636010958671,0.04697352350831386,15,0.035629453681710214,0.0021630477679715457,0.08163510176800963,Completed
CD4_Treg_FOXP3,421,0.16224764603200537,0.15010630756870103,13.363242160028669,7.311868681005286e-14,25,0.05938242280285035,0.0032571996552713464,0.3430217182667898,Completed
CD8_CTL_GZMB,421,0.09063055339285364,0.07745128605072105,6.876752025745662,5.659969533073375e-07,18,0.04275534441805225,0.002338564432377119,0.08340762921885432,Completed
CD8_CTL_GZMK,421,0.08228496373984451,0.0689847458230306,6.186738010948044,3.124822272311222e-06,16,0.03800475059382423,0.002785676676456176,0.27087835076311245,Completed
CD8_CTL_IFI44L,421,0.01482725417880948,0.0005493882973428565,1.0384783203529095,0.3996241011812208,21,0.0498812351543943,0.0026416784806394785,0.1425203271496983,Completed
CD8_Tcm_IFI44L,421,0.11743777458651061,0.10464701769646001,9.181456234060775,1.8942238299273777e-09,13,0.030878859857482184,0.001626259772942372,0.059977033984869206,Completed
CD8_Tem_CCR7neg,421,0.19393280658201828,0.18225067334407652,16.600804205190407,3.5373730898573833e-17,20,0.047505938242280284,0.002975677779065875,0.34698098140393485,Completed
CD8_Tn_CCR7,421,0.23940110437483042,0.22837793197446554,21.717986046095792,3.220506174016602e-22,10,0.023752969121140142,0.0019471835811801252,0.06318066078958252,Completed
CD8_Tn_SOX4,421,0.2258609184099062,0.2146415114303396,20.131270647482253,1.1084156718323715e-20,20,0.047505938242280284,0.0020446036183353372,0.09233679903423941,Completed
Proliferative_NK_MKI67,421,0.058251151723527905,0.04460261769053553,4.267942006278361,0.00034641948612098005,16,0.03800475059382423,0.002477885019629389,0.3075179231109292,Completed
Proliferative_T_MKI67,421,0.02373578761944939,0.009587030918281947,1.6775882235285702,0.12494766016213923,17,0.040380047505938245,0.0022447931508121958,0.10944496859504858,Completed
Immature_T_CABP4,421,0.0676187449167015,0.054105973103899974,5.004061776033428,5.762185945926852e-05,16,0.03800475059382423,0.0017447790190390977,0.08797307192958205,Completed
HSPC_CD34,421,0.020047684424908785,0.005845476952805906,1.411589322595675,0.20862725072284652,19,0.04513064133016627,0.002123047362837506,0.08727794767525496,Completed
ILC2_IL2RA,421,0.01008238430602626,-0.004264247805480625,0.7027701154990662,0.6475378228295674,17,0.040380047505938245,0.002652588175618516,0.2510214294962221,Completed
MAIT_SLC4A10,421,0.09290266952396309,0.07975633140112193,7.066809681591051,3.5342738945905836e-07,17,0.040380047505938245,0.0020674060008140024,0.08750210714997245,Completed
MK_GP9,421,0.010581568833531119,-0.003757828719606282,0.7379367783283235,0.6193190377604461,6,0.014251781472684086,0.002401732611693369,0.5081838573475259,Completed
NKT_NCR1,421,0.10652129379533681,0.0935723270387474,8.226238880498437,2.002017850784772e-08,27,0.06413301662707839,0.0022410890656506845,0.04062178911042892,Completed
NKT_IFNG,421,0.011223744254585943,-0.0031063464083911363,0.7832291168668895,0.583427914540821,17,0.040380047505938245,0.002417154873041889,0.46966524749100136,Completed
NK_bright_XCL1,421,0.010016528300554217,-0.004331058245814701,0.6981333249451143,0.6512738464630747,13,0.030878859857482184,0.0026667553991221262,0.21175831336081757,Completed
Plasma_IGHA1,421,0.0490031168423577,0.03522055331833385,3.5554428431940437,0.0019111786317659938,21,0.0498812351543943,0.006391750946487408,1.0746774085961244,Completed
Plasma_IGHG1,421,0.03999304050650676,0.026079896166021244,2.8744789479494095,0.00936249114571989,17,0.040380047505938245,0.005592732750030406,0.925592445000404,Completed
Plasmablast_MKI67,421,0.06404837293529542,0.05048385660102428,4.721758694298269,0.00011494103473715308,18,0.04275534441805225,0.009786367068544856,2.7699388793599873,Completed
Switched_Bm_IGHE,421,0.021683182801502388,0.007504678204422688,1.5292996982184173,0.16697992098829229,20,0.047505938242280284,0.002366387740635273,0.11634158046220898,Completed
Switched_activated_Bm_CD86,421,0.028341360230111023,0.014259350958083616,2.0125934930612894,0.06286546110167603,19,0.04513064133016627,0.0025611881730634965,0.10569797567811015,Completed
Switched_Bm_IGHDneg,421,0.016945630587314464,0.002698465813217532,1.189403706351717,0.31082218465239314,23,0.05463182897862233,0.0023498930015638246,0.06484465703650477,Completed
Transitional_B_MME,421,0.0124422323678407,-0.0018701990471181595,0.8693304447793901,0.5173791703845789,15,0.035629453681710214,0.002415258517186662,0.13834197150895805,Completed
