"","celltype","interaction_p","male_beta","male_p","male_n","female_beta","female_p","female_n","sig_interaction","male_sig","female_sig","celltype_short"
"1","AS_DC",0.232454177026212,2.8668356134675e-08,0.984576281171621,185,-2.08546351924294e-06,0.0481878643324687,236,"Without interaction","Non-significant","Significant","AS_DC"
"2","Atypical_Bm_ITGAX",0.566051632971048,1.76507788809274e-05,0.215815492753886,185,3.06683810278509e-05,0.0665084815989884,236,"Without interaction","Non-significant","Non-significant","Atypical_Bm_ITGAX"
"3","Bn_IFIT3",0.880398541419943,-5.78088687796411e-06,0.506945150965826,185,-9.92120612888614e-06,0.670099952419937,236,"Without interaction","Non-significant","Non-significant","Bn_IFIT3"
"4","Bn_IL6",0.766686528319664,1.23378440994406e-05,0.16718206108436,185,1.68349978213832e-05,0.141513162507906,236,"Without interaction","Non-significant","Non-significant","Bn_IL6"
"5","Bn_TCL1A",0.716743249678187,0.000125009025843887,0.230541829989247,185,0.000179426649145347,0.0872444091339697,236,"Without interaction","Non-significant","Non-significant","Bn_TCL1A"
"6","CD4_CTL_GZMH",0.83937556785401,0.000349494174511641,2.68849301274237e-05,185,0.000374656153162524,3.84941833023413e-05,236,"Without interaction","Significant","Significant","CD4_CTL_GZMH"
"7","CD4_Tcm_CXCR5",0.0407449684669847,1.72574888798739e-05,0.619208328207297,185,0.000117138305013257,0.000533461028042539,236,"With interaction","Non-significant","Significant","CD4_Tcm_CXCR5"
"8","CD4_Tcm_IFI44L",0.970387722624993,-3.69926123252471e-06,0.845059920297828,185,-2.47051016084363e-06,0.921887659196722,236,"Without interaction","Non-significant","Non-significant","CD4_Tcm_IFI44L"
"9","CD4_Tem_CCR5",0.251975133491083,1.43690247019256e-06,0.314841618173535,185,4.7499701533928e-06,0.0391554603434555,236,"Without interaction","Non-significant","Significant","CD4_Tem_CCR5"
"10","CD4_Tem_CCR7neg",0.96728230368141,0.000108305355911059,0.383347763792454,185,0.000102088833613288,0.270320127853963,236,"Without interaction","Non-significant","Non-significant","CD4_Tem_CCR7neg"
"11","CD4_Tfh-like_CXCR5",0.219920220231836,5.71800849052805e-06,0.913811349040785,185,0.000104020463779976,0.070945313808695,236,"Without interaction","Non-significant","Non-significant","CD4_Tfh-like_CXCR5"
"12","CD4_Th_CCR4",0.987215918231764,3.18139158202921e-05,1.29064472138009e-05,185,3.16516894010289e-05,9.88643975531346e-06,236,"Without interaction","Significant","Significant","CD4_Th_CCR4"
"13","CD4_Th_CR1",0.38332220684829,-4.85408588631969e-06,0.00659714156834835,185,-7.49242110128775e-06,0.00118368638147821,236,"Without interaction","Significant","Significant","CD4_Th_CR1"
"14","CD4_Th_LMNA",0.629440282826747,3.79173998275454e-05,0.102610991778142,185,5.24666813307275e-05,0.00779982378888513,236,"Without interaction","Non-significant","Significant","CD4_Th_LMNA"
"15","CD4_Th_TNFRSF11A",0.219965041415695,1.51620605261653e-05,0.472677895902221,185,5.09666145129366e-05,0.0105958119410762,236,"Without interaction","Non-significant","Significant","CD4_Th_TNFRSF11A"
"16","CD4_Th1-like_GZMK",0.384125526307389,-3.97190028606013e-05,0.34084327175981,185,2.09990526866802e-05,0.687826509816561,236,"Without interaction","Non-significant","Non-significant","CD4_Th1-like_GZMK"
"17","CD4_Th17-like_RORC",0.228887076718425,-1.93773603530432e-05,0.586044383664673,185,5.46672204129232e-05,0.241575817405681,236,"Without interaction","Non-significant","Non-significant","CD4_Th17-like_RORC"
"18","CD4_Th22-like_CCR10",0.779841435939122,1.8336892393418e-05,0.0569634447289533,185,1.42965475802399e-05,0.167496389187446,236,"Without interaction","Non-significant","Non-significant","CD4_Th22-like_CCR10"
"19","CD4_Tn_CCR7",0.600407811609085,-0.000444023264934541,0.236777986510886,185,-0.000716959272700284,0.0444732858960541,236,"Without interaction","Non-significant","Significant","CD4_Tn_CCR7"
"20","CD4_Tn_CXCR5",0.398336464150004,0.000119566654524884,4.35028209669052e-08,185,0.000142596829439754,3.55656766445712e-14,236,"Without interaction","Significant","Significant","CD4_Tn_CXCR5"
"21","CD4_Tn_LIMS1",0.948481175661209,-7.88090552271157e-06,0.123112436189695,185,-8.33995678721957e-06,0.086680358380482,236,"Without interaction","Non-significant","Non-significant","CD4_Tn_LIMS1"
"22","CD4_Tn_SOX4",0.0726236123226144,-0.000116560045945694,3.35371045062531e-11,185,-0.000164777127753164,7.39059258021416e-15,236,"Without interaction","Significant","Significant","CD4_Tn_SOX4"
"23","CD4_Tr1_IL10",0.421880472923724,-1.6044795427152e-06,0.76307054127495,185,4.33467833468737e-06,0.389737628580752,236,"Without interaction","Non-significant","Non-significant","CD4_Tr1_IL10"
"24","CD4_Treg_FCRL3",0.0904653549283646,-6.85768604303653e-05,0.000846375496951548,185,-1.749647549602e-05,0.413767392156672,236,"Without interaction","Significant","Non-significant","CD4_Treg_FCRL3"
"25","CD4_Treg_FOXP3",0.222803236075375,9.28792681179681e-05,1.78908629818866e-06,185,0.000123484758301099,1.67841919026915e-12,236,"Without interaction","Significant","Significant","CD4_Treg_FOXP3"
"26","CD8_CTL_GZMB",0.918880721290173,0.000711385510991703,0.00380907907747533,185,0.000683856050191169,4.29206001395561e-06,236,"Without interaction","Significant","Significant","CD8_CTL_GZMB"
"27","CD8_CTL_GZMK",0.204735455143738,3.89253804990651e-05,0.0791526896607601,185,7.63562183820351e-05,0.000119097746400876,236,"Without interaction","Non-significant","Significant","CD8_CTL_GZMK"
"28","CD8_CTL_IFI44L",0.862609924013385,-1.32643861704526e-06,0.725149207141394,185,-2.69535444993762e-07,0.952397415647087,236,"Without interaction","Non-significant","Non-significant","CD8_CTL_IFI44L"
"29","CD8_Tcm_IFI44L",0.978543446429397,-0.000158355848151095,6.76527215029438e-06,185,-0.00015969144914674,7.02664655847524e-06,236,"Without interaction","Significant","Significant","CD8_Tcm_IFI44L"
"30","CD8_Tem_CCR7neg",0.860468777718324,0.000663569149476258,7.89209014601839e-09,185,0.000689733677732425,4.15826570395178e-11,236,"Without interaction","Significant","Significant","CD8_Tem_CCR7neg"
"31","CD8_Tn_CCR7",0.781446073685918,-0.00188256862014442,7.9263962007833e-14,185,-0.00179103430230215,1.2532484315443e-13,236,"Without interaction","Significant","Significant","CD8_Tn_CCR7"
"32","CD8_Tn_SOX4",0.498212182911604,-3.25074005571933e-05,3.22437298963077e-11,185,-3.72055689561937e-05,1.18876998761366e-12,236,"Without interaction","Significant","Significant","CD8_Tn_SOX4"
"33","cMono_CD14",0.277470466292799,-6.03077019239021e-05,0.744957680473989,185,-0.000329963527358887,0.0459428198240911,236,"Without interaction","Non-significant","Significant","cMono_CD14"
"34","cMono_CXCL10",0.615025112585583,-6.30734575402906e-06,0.533125282543523,185,-1.41980284384952e-05,0.212796262235328,236,"Without interaction","Non-significant","Non-significant","cMono_CXCL10"
"35","cMono_IFI44L",0.373023984609323,-8.2302962313975e-06,0.875671209599711,185,-7.91426361940419e-05,0.16580312366235,236,"Without interaction","Non-significant","Non-significant","cMono_IFI44L"
"36","cMono_IL1B",0.000313057958351702,0.000129191031622228,0.00176594312065708,185,-3.19176506542487e-05,0.165009584632901,236,"With interaction","Significant","Non-significant","cMono_IL1B"
"37","DC_CSF2RA",0.311184193450051,-1.97899215580039e-05,0.00563242609674728,185,-1.15248077865492e-05,0.0135520946762968,236,"Without interaction","Significant","Significant","DC_CSF2RA"
"38","DC1_CLEC9A",0.670115015754763,2.2046368521433e-06,0.414376472699551,185,9.53003642719886e-07,0.531188578193072,236,"Without interaction","Non-significant","Non-significant","DC1_CLEC9A"
"39","DC2_CD1C",0.241639395434307,6.85634460829148e-05,0.036477007563771,185,2.46314322922147e-05,0.247081524167299,236,"Without interaction","Significant","Non-significant","DC2_CD1C"
"40","gdT1_TRDV1",0.161604698697884,-5.0633222173419e-05,3.88320333352863e-15,185,-6.43293031113219e-05,2.44740020518172e-16,236,"Without interaction","Significant","Significant","gdT1_TRDV1"
"41","gdT2_GZMH",0.631715137622449,-0.000166647128150544,0.235427063765453,185,-7.17532277989872e-05,0.598754681936076,236,"Without interaction","Non-significant","Non-significant","gdT2_GZMH"
"42","gdT2_GZMK",0.682779893185115,-9.85553872621607e-05,0.0207587929493367,185,-7.46116677282268e-05,0.0619781062146886,236,"Without interaction","Significant","Non-significant","gdT2_GZMK"
"43","gdT2_IL12RB2",0.659978295148667,-0.000370472276311044,0.000406860208389672,185,-0.00031837403648247,3.48801213801028e-06,236,"Without interaction","Significant","Significant","gdT2_IL12RB2"
"44","HSPC_CD34",0.540101567600299,-6.18350939685186e-06,0.118606173053261,185,-3.44278877882686e-06,0.165460009965403,236,"Without interaction","Non-significant","Non-significant","HSPC_CD34"
"45","ILC2_IL2RA",0.303460087308293,-5.18494738440411e-07,0.7336666245683,185,-2.92780122549213e-06,0.0839639529034008,236,"Without interaction","Non-significant","Non-significant","ILC2_IL2RA"
"46","Immature_T_CABP4",0.858423717865426,-5.1023833992511e-05,0.000298878301698661,185,-4.71118483418914e-05,0.00363418595338803,236,"Without interaction","Significant","Significant","Immature_T_CABP4"
"47","Inflamed_NK_dim_IFIT1",0.667884315220053,3.75934342213484e-07,0.188631285456327,185,1.88188154644574e-07,0.551120426391616,236,"Without interaction","Non-significant","Non-significant","Inflamed_NK_dim_IFIT"
"48","intMono_GFRA2",0.999265265405263,2.75116076619086e-05,0.0522984838456479,185,2.75312693669388e-05,0.0729513137768984,236,"Without interaction","Non-significant","Non-significant","intMono_GFRA2"
"49","MAIT_SLC4A10",0.929358703610545,-0.000614504472628396,4.69988375794216e-05,185,-0.000597339159003764,3.89856969955017e-06,236,"Without interaction","Significant","Significant","MAIT_SLC4A10"
