"","gene","interaction_F","interaction_p","male_age_beta","male_p","male_n","female_age_beta","female_p","female_n","overall_age_beta","overall_p","overall_n"
"1","HSPA1B",0.343193497428456,0.558357711529758,-0.000629149157216752,0.0574520332901509,153,-0.000325757351812911,0.375754166388497,212,-0.000450230186887076,0.0768897281197987,365
"2","IGHG1",0.134703893814785,0.713818926534788,-0.000885516921447896,0.240033355228051,153,-0.00137044638797098,0.160271815180251,212,-0.00121322887646951,0.0626062247483356,365
"3","IGHG4",1.39661435299217,0.238069145467283,-0.00340316015005909,0.0172457172843566,153,-0.000682358334191463,0.680028762199038,212,-0.00186749519996762,0.100510726948997,365
"4","HIST1H2BG",0.00427330812378793,0.947915160687248,-0.00186501715241857,0.00544962408925456,153,-0.00181352467239796,0.000139841043826654,212,-0.0018220193930789,3.40412934655384e-06,365
"5","IGHA2",0.32926619059343,0.566448822748521,-0.000661434680954373,0.496974401023773,153,-0.00149271006885731,0.137983226367342,212,-0.00117143453090174,0.0999726645008382,365
"6","IGLC1",0.208286143975719,0.648388486607904,-0.00139510311372589,0.266901785530231,153,-0.000602827504458111,0.602771414081879,212,-0.000957173769861178,0.261729976560316,365
"7","SIGLEC1",0.0137920489720359,0.906577052312134,-0.000205819596903329,0.674823006611512,153,-0.000103196814240209,0.873196865797869,212,-0.000210328378795112,0.63044672722922,365
"8","JCHAIN",0.235391100095516,0.627849193385442,-0.0027717038660213,0.0361605278056534,153,-0.00186528613746305,0.141445239613288,212,-0.00224279973294112,0.0147564205077608,365
"9","C15orf48",6.81519971574975,0.0094151216197,0.000738506924203347,0.0108352430493077,153,-0.00011466995651275,0.536553091685971,212,0.000232278295250544,0.151450545707631,365
"10","IFI44L",0.0557194783590894,0.813527941281526,-0.000727203392153442,0.479441480135832,153,-0.0011514088652725,0.384414204794141,212,-0.00113701849626632,0.21007344186802,365
"11","ITGA2B",0.0944716815730985,0.758744734859546,-3.13560172346855e-05,0.952403828207893,153,-0.000216302035747829,0.528994164430625,212,-0.000149896913780092,0.611692290553257,365
"12","IGLC2",0.000667657645547128,0.979399974457213,-0.00072440579038215,0.514617980576812,153,-0.000683420128078643,0.525681118416362,212,-0.000723435191261199,0.352776891015349,365
"13","CCL3L1",4.64466507530957,0.0318109044492272,0.00160336164575823,0.069794704743549,153,-0.000825988695703822,0.248481624932787,212,0.000124957588667793,0.823050741766232,365
"14","NR4A3",0.277150977850936,0.598897971452184,-0.000762907267391912,0.406233903051125,153,-0.00140006381298372,0.0749179007042504,212,-0.00116599784443269,0.0504367049974203,365
"15","TMEM176B",0.00202011421956567,0.964175456832953,-9.49352953523951e-07,0.999111326099772,153,5.31040730281006e-05,0.947784631793154,212,-2.04702721043484e-06,0.997236974995355,365
"16","C5AR1",0.435980243996774,0.50949010809984,-0.000249269135365533,0.594202944424171,153,-0.000647849359375797,0.0932423031209817,212,-0.000482039785802445,0.104136537543624,365
"17","AL021155.5",0.0302266560359976,0.862074393999488,-0.00151267540719395,0.00267729944680636,153,-0.00141226625952157,3.72583587976165e-05,212,-0.00143978804311024,6.07210497629682e-07,365
"18","MPP5",0.124956957310484,0.723925582430607,2.88562809211287e-05,0.91775340225804,153,-6.98712818418106e-05,0.58282322118118,212,-2.66959991171167e-05,0.845471180616081,365
"19","IFIT3",0.769037974456387,0.381098025926613,-0.000233605767076186,0.719287065458623,153,0.000589719674428803,0.358056618147538,212,0.0001962402128894,0.674357243077289,365
"20","Z93241.1",0.515118590120314,0.473395590468336,-0.000422084717954157,0.0911630337984371,153,-0.000666267109105657,0.00343061754709365,212,-0.000559306347075481,0.000898203213474867,365
"21","RETN",0.00123890962866629,0.971941192994542,1.79201588553133e-05,0.989493205975911,153,-4.40039023744525e-05,0.968726782320125,212,-3.35568339373126e-06,0.996895898370197,365
"22","XAB2",0.686193855241829,0.408009332529175,-0.000475997682407747,0.317928353093167,153,-1.95103379779653e-05,0.951151647583797,212,-0.000191591626551983,0.479791404667887,365
"23","MXRA7",3.06845204051454,0.0806745966787606,0.000440588625469314,0.170312473155323,153,-0.000291575066960907,0.278074081775903,212,1.00348006391816e-05,0.961103814328187,365
"24","LINC00937",0.00712362596396372,0.932783939722276,-0.000145975589192915,0.44675191730104,153,-0.000121589469835289,0.546030696793007,212,-0.00013945962610827,0.326410154885629,365
"25","LZTS2",0.199302417569297,0.655552175841761,-0.00026770793827233,0.252941055518708,153,-0.000157620456041326,0.209518432192773,212,-0.000202682889663492,0.0942816669407934,365
"26","PABPC3",2.52371486792161,0.113021509147669,-9.65489965441915e-05,0.913619450249501,153,-0.0017873564573586,0.00535332421106783,212,-0.00109688941388626,0.0367037313190449,365
"27","GPR171",0.436839950146586,0.509073198730975,-6.6816142970929e-05,0.691574802420043,153,-0.000269003400257035,0.237987386469074,212,-0.000192317723562491,0.20101550161171,365
"28","G0S2",0.557853117482533,0.45561271403411,0.000934172206728747,0.263262894381825,153,0.000224995611871231,0.67619425917806,212,0.00052478443249345,0.260464190118895,365
"29","NRG1",0.79172884271958,0.374170437317014,-1.1320303396671e-05,0.959233029574752,153,-0.000307698468634486,0.185376914324851,212,-0.000198460377585201,0.227263030076879,365
"30","IFIT2",0.00152926637572686,0.968827625392078,-0.000105186915453873,0.713927370807292,153,-0.000121983597271325,0.682705966999514,212,-0.000137851598673371,0.517060704994343,365
"31","TRGC1",1.08834353825847,0.297536619372041,-0.000476247335260465,0.177813042366151,153,-0.000916537661964154,0.000351388248531569,212,-0.000732622046340662,0.000456334188715319,365
"32","TMEM140",2.60779462940556,0.107213187910147,0.000354492414365992,0.106761304444987,153,-3.19754774501458e-05,0.80375849349268,212,0.000130722257964359,0.267952230278918,365
"33","NBPF9",0.00229192055511256,0.961843128872923,0.000184016890687035,0.306764907161429,153,0.000196425318769075,0.267241507418163,212,0.000186057147444977,0.14425309708557,365
"34","ATAD5",0.0074212067615386,0.931397777243757,-0.000189520786833261,0.160666264690696,153,-0.000172317255956852,0.212972538112415,212,-0.000184443751050248,0.0607629704012239,365
"35","PDK4",1.5043657814996,0.220800218360892,0.00135050244913952,6.67554855467087e-05,153,0.000708310573723188,0.0585147702640816,212,0.000952844594103994,0.000256604322070287,365
"36","GP1BB",0.0388594309289316,0.84383834619246,-0.000613950803560678,0.252744347030667,153,-0.000754221662145257,0.104136917448773,212,-0.000694465608014264,0.0470803310610787,365
"37","CENPBD1",2.63354649267194,0.105500682685018,-2.39115958176405e-06,0.991741537273401,153,0.000495217621480965,0.0136101385443928,212,0.000299397543995919,0.0482361433282046,365
"38","SLC41A2",1.34943205005667,0.246144903889679,-0.000289052253981943,0.292748856733495,153,6.95763705605576e-05,0.686864394152544,212,-7.2826234289256e-05,0.631227941075921,365
"39","ZNF212",0.00152147192063867,0.96890712697876,-7.11414295256717e-05,0.80895873530135,153,-8.28213295602561e-05,0.559927808924264,212,-7.56352508242538e-05,0.606466980695032,365
"40","CXCL8",2.95479034859806,0.0864806738425226,0.0029186898381706,0.00435413653538237,153,0.000663785755606937,0.429621638611741,212,0.00159823909676343,0.0137280939852821,365
"41","IFITM1",0.019459546050605,0.889134840855818,0.000573212146715,0.0642937687246491,153,0.000643367190698068,0.0764886767509571,212,0.000590682000959842,0.0179369780093153,365
"42","TTN",2.00223891398701,0.157929062421718,0.00020211202472502,0.340087178701035,153,-0.000217836450203631,0.27550407017699,212,-6.15921033208384e-05,0.675860874828248,365
"43","CLEC4E",0.0288461859762271,0.865229808057576,-0.000608539503594619,0.0662365750411101,153,-0.000525863145704474,0.11869004406224,212,-0.00057736394666303,0.0164693922158248,365
"44","CDKN1C",0.314408819744954,0.575335115238962,0.00049940940968581,0.0560478500000215,153,0.000288302596560855,0.263485131898735,212,0.0003696879064462,0.045958539662504,365
"45","AP001189.1",0.121665930975797,0.727437975882027,-0.000834215417554398,0.000616694041114356,153,-0.00070231816485526,0.00957833375110205,212,-0.000763476673609423,4.7802271224563e-05,365
"46","TP53INP2",0.669571399560549,0.41374086381352,-4.85268262603847e-05,0.823293621398622,153,-0.000274538512268635,0.115663262000728,212,-0.000182195114208814,0.179306689814249,365
"47","AC079305.3",0.312015710759988,0.576792188463911,0.000173728073182803,0.414001981013015,153,-8.24635544086919e-06,0.971237188423531,212,6.26715658220219e-05,0.694969859133872,365
"48","UBE2L5",0.594266525726846,0.441278243382953,-0.000104681590532499,0.706030343439765,153,-0.000406065471724462,0.124235294640801,212,-0.000277337345059981,0.149044292227612,365
"49","FAM106A",1.75356590862549,0.186266865945609,-2.75155697835652e-05,0.891704690705218,153,-0.000447632374956034,0.0475763726529511,212,-0.000278052980551072,0.0751340146478364,365
"50","ARIH2OS",0.0876923384382115,0.767301904536195,-0.000231582776711481,0.262818265704275,153,-0.000303958975257057,0.0365383527373108,212,-0.000274153471046431,0.0226043558767165,365
"51","WDR89",0.203652499217385,0.652059634771508,0.000106929811816888,0.643633039522658,153,0.000227460185543739,0.140777025240988,212,0.000176000686406867,0.179581457376266,365
"52","CDC7",0.076140203439635,0.782755770975342,0.000103797389445017,0.601941440575498,153,3.86867136744399e-05,0.78210991178702,212,6.42980462764392e-05,0.578393418301979,365
"53","HLA.DQA2",0.827738814308639,0.363534222289035,0.00014708029496534,0.977989107922698,153,0.006536724801305,0.150984014665643,212,0.00398691161911949,0.247882901849262,365
"54","LINC00662",0.89147384965064,0.345709697798231,-0.000164298172098411,0.458901417197063,153,8.81415112328204e-05,0.58438039600535,212,-1.6252755181203e-05,0.901427497556374,365
"55","SPHK1",0.383894348624594,0.535917230838039,-8.34889864065367e-05,0.703091069119631,153,-0.000255751165644455,0.144840999493629,212,-0.0001784019210735,0.192279783549584,365
"56","AP3M2",1.17695078376829,0.278701589021823,-0.000211337993627201,0.340840246711051,153,7.09020727084047e-05,0.642310476742332,212,-4.72510085222966e-05,0.711571067288182,365
"57","DHRS9",0.635786147884668,0.425764960748491,0.000107932080974136,0.752381051006187,153,0.000411509359977508,0.0508072001843518,212,0.000289762174877236,0.121467341777329,365
"58","SLF1",0.279407147508857,0.597414871909903,4.47299233564037e-05,0.768814713312255,153,0.000196188420529637,0.362339278304248,212,0.000123910820089579,0.380392840599076,365
"59","CDCP1",3.38575585871352,0.066582787219023,-8.67301778396846e-05,0.6656549384793,153,0.000352010225681135,0.0135763238381929,212,0.000172684586542276,0.141963203335008,365
"60","TBC1D8",0.0265998940148589,0.870535102487148,8.17501230479298e-06,0.954940413465674,153,4.64890343541045e-05,0.782880148034829,212,2.74137809995465e-05,0.811976083799694,365
"61","AC239799.2",0.930324428939584,0.33542430489304,-0.00105992704327135,0.00422735193201793,153,-0.00152410167777907,1.85964857489975e-06,212,-0.00134641091364746,2.59416887276269e-08,365
"62","IGF1R",0.281741749012772,0.595888261767736,-0.000430030568446548,0.00602152294783438,153,-0.000301268544902093,0.0808131741780465,212,-0.000360449587125397,0.00267101475497593,365
"63","PYHIN1",3.65087901398095,0.0568315139737131,0.000323635469047122,0.298686999733141,153,-0.000550149793783971,0.0818581462490801,212,-0.000192870251617723,0.392151047171591,365
"64","ZNF28",0.148263355462585,0.700427272741748,1.92654255669801e-05,0.902015616141641,153,-6.73673247156413e-05,0.660271311955053,212,-3.33066959203947e-05,0.762722530688295,365
"65","ENOSF1",0.010288528992602,0.919263541506392,-0.000192704310789665,0.34036984684657,153,-0.000220319509674617,0.218658111504728,212,-0.000207250174185571,0.121077240461739,365
"66","SHQ1",3.07105681491855,0.0805465941769353,0.000290461228870147,0.140524541565638,153,-0.000226728834354105,0.270252568888525,212,-2.36152475842239e-05,0.871218467407236,365
"67","KANTR",0.407251416473007,0.523772487155338,-0.000117082747471754,0.529364845809958,153,3.14438204845695e-05,0.828062432397814,212,-2.82189888882372e-05,0.804750253437566,365
"68","HLA.DQB2",1.40785684898135,0.236192767894152,0.00264146857750385,0.0593907769395024,153,0.00489921929078813,0.000131980645686699,212,0.00401561565399922,2.25792092895305e-05,365
